#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
43000,85.99999999998097,-5877.753112871947,299.092233503666,0.9815945148938153
43500,86.99999999997864,-5841.128790746116,283.9728551245449,1.004331228337322
44000,87.99999999997631,-5866.385998348308,279.1660765790372,0.9841246386145227
44500,88.99999999997398,-5786.122163867809,294.24302087689597,0.9862614249980335
45000,89.99999999997165,-5748.560834405739,299.15827801332074,0.9627853908015704
45500,90.99999999996932,-5826.00086804718,276.1402519448101,0.961239854501475
46000,91.99999999996699,-5836.302162688532,316.2383242647401,0.9668188666812191
46500,92.99999999996466,-5814.680345459942,322.6096057323965,0.969731748445031
47000,93.99999999996233,-5714.385874828056,315.64135018029214,0.9759497368035549
47500,94.99999999996,-5742.421315918056,301.90880864813556,0.9912357948323455
48000,95.99999999995767,-5805.297810767564,310.2474678840514,0.9864094903031587
48500,96.99999999995534,-5864.931483014145,287.57005878947734,0.9893863136307485
49000,97.999999999953,-5778.058775987562,321.83649889936925,0.9399343401880222
49500,98.99999999995067,-5731.137994126803,283.96594517936114,0.9656045881025453
50000,99.99999999994834,-5668.605173252213,262.90921029470854,0.9743922503083412
